BADGEID,COMPANY,JOBTITLE,COUNTRY,BUSINESS_FOCUS,RESPONSIBILITY,FUNCTION,INSTITUTION_TYPE,AGE_RANGE,TICKETDETAILS,SESSIONGROUP,SESSIONNAME,SESSIONDATE,SESSIONTIME,ATTEND_TIME,ATTEND_DAY,ROOM,ROOMCODE,STREAM
8849809,ASX,Senior Manager OTC Markets,Australia,Derivatives,Business Development/Strategy,Managing Director/ Director / EVP,Exchange,31 to 40,Week-long Participant Pass - Exhibitor voucher used without lunch,NORMAL,Renminbi: The real game changer,10/15/15,11:30,11:25:48,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8849809,ASX,Senior Manager OTC Markets,Australia,Derivatives,Business Development/Strategy,Managing Director/ Director / EVP,Exchange,31 to 40,Week-long Participant Pass - Exhibitor voucher used without lunch,NORMAL,Analytics for a real-time world,10/15/15,14:00,14:50:31,15-Oct-15,Innotribe,INN,Innotribe
8575108,OP-Services Ltd (Pohjola Bank),Analyst/Consultant,Finland,Payments,Information Technology,Analyst/Consultant,Commercial Bank,51 to 60,Chairpersons Pass,COMMUNITY,Making real-time payments a reality: EBA CLEARING’s pan-European approach,10/15/15,14:15,13:58:48,15-Oct-15,Conference room 4,CR4,Community
8809539,IBM,"Director, Banking and FM, Growth Markets",Australia,Payments,Business Development/Strategy,Account Manager,Software Vendor / Consultancy,61 and over,Week-long Participant Pass without lunch,NORMAL,Intraday liquidity reporting: How has the industry progressed?,10/15/15,10:15,10:04:25,15-Oct-15,Conference room 3,CR3,Payments
8606449,SWIFT ,Senior Manager/ Marketing ,Belgium,Payments,Marketing,Vice President/ Functional Head,Software Vendor / Consultancy,51 to 60,SWIFT Business Team Pass with lunch,NORMAL,ASEAN banking conversation,10/15/15,10:00,9:50:02,15-Oct-15,Conference room 2,CR2,ASEAN
8606449,SWIFT ,Senior Manager/ Marketing ,Belgium,Payments,Marketing,Vice President/ Functional Head,Software Vendor / Consultancy,51 to 60,SWIFT Business Team Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,15:55:21,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8606449,SWIFT ,Senior Manager/ Marketing ,Belgium,Payments,Marketing,Vice President/ Functional Head,Software Vendor / Consultancy,51 to 60,SWIFT Business Team Pass with lunch,COMMUNITY,The Lifecycle of Payments ,10/15/15,9:00,8:55:52,15-Oct-15,Conference room 4,CR4,Community
8606449,SWIFT ,Senior Manager/ Marketing ,Belgium,Payments,Marketing,Vice President/ Functional Head,Software Vendor / Consultancy,51 to 60,SWIFT Business Team Pass with lunch,NORMAL,Lite2 cash reporting dashboard for corporates,10/15/15,11:45,11:43:53,15-Oct-15,SWIFTLab,SWLA,SWIFTLab
8570187,BNP PARIBAS SA (FORMERLY BANQUE,SWIFT Global Coordination,France,Payments,Financial Operations,Section Head/Supervisor,Investment Bank,51 to 60,Week-long Participant Pass with lunch,NORMAL,Sibos: Closing plenary,10/15/15,16:00,16:01:55,15-Oct-15,Plenary,PLR,Big Issue Debate/Plenary
8575021,BANCO NACIONAL DE COSTA RICA,Director Banca de Comercio Exterior,Costa Rica,Payments,Business Development/Strategy,Managing Director/ Director / EVP,Commercial Bank,51 to 60,Chairpersons Pass,COMMUNITY,The Lifecycle of Payments ,10/15/15,9:00,9:22:21,15-Oct-15,Conference room 4,CR4,Community
